candidate_id,target_rad,delay_substeps,passed,minimum_position_margin_rad,minimum_reserve_margin_rad,minimum_velocity_margin_rad_s,maximum_applied_effort_ratio,saturated_substeps,first_failure_substep,first_failure,limiting_joint,runtime_fixed_candidate_preview_passed
89,-0.96160078125,1,True,0.02063649868944939,0.02053649868944939,19.150897711844067,0.7076178820706494,0,,,,True
89,-0.96160078125,2,True,0.01937640299136989,0.01927640299136989,19.178395626226038,0.7079203014942377,0,,,,True
89,-0.96160078125,3,True,0.01821397045437001,0.01811397045437001,19.19291061338667,0.7083653169420288,0,,,,True
89,-0.96160078125,4,True,0.017148263627500437,0.017048263627500438,19.19291061338667,0.7089249135335619,0,,,,True
89,-0.96160078125,5,True,0.016074122612702357,0.015974122612702358,19.19291061338667,0.7095750645603773,0,,,,True
89,-0.96160078125,6,True,0.015084704715342845,0.014984704715342845,19.19291061338667,0.7102983275129762,0,,,,True
90,-0.9466019531250001,0,True,0.021907137312123126,0.021807137312123127,19.118691334491523,0.7160423707694967,0,,,,True
90,-0.9466019531250001,1,True,0.02057707328656555,0.02047707328656555,19.14485422725482,0.716167586072837,0,,,,True
90,-0.9466019531250001,2,True,0.0193174067675006,0.0192174067675006,19.172590681540402,0.7164700054964253,0,,,,True
90,-0.9466019531250001,3,True,0.018155394147570725,0.018055394147570725,19.19291061338667,0.7169150209442162,0,,,,True
90,-0.9466019531250001,4,True,0.017090095787203108,0.01699009578720311,19.19291061338667,0.7174746175357494,0,,,,True
90,-0.9466019531250001,5,True,0.016026424206414536,0.015926424206414536,19.19291061338667,0.7181247685625648,0,,,,True
90,-0.9466019531250001,6,True,0.015037333676401143,0.014937333676401144,19.19291061338667,0.7188480315151636,0,,,,True
91,-0.9316031250000001,0,True,0.021837876598213235,0.021737876598213236,19.11242901899712,0.7245920747716842,0,,,,True
91,-0.9316031250000001,1,True,0.02051765035177011,0.020417650351770112,19.13880507524718,0.7247172900750245,0,,,,True
91,-0.9316031250000001,2,True,0.019258412948190973,0.019158412948190973,19.166780919043397,0.7250197094986127,0,,,,True
91,-0.9316031250000001,3,True,0.018096819990211177,0.017996819990211178,19.19291061338667,0.7254647249464037,0,,,,True
91,-0.9316031250000001,4,True,0.017031930224632674,0.016931930224632675,19.19291061338667,0.7260243215379368,0,,,,True
91,-0.9316031250000001,5,True,0.015978726846140212,0.015878726846140213,19.19291061338667,0.7266744725647523,0,,,,True
91,-0.9316031250000001,6,True,0.01498996365479055,0.01488996365479055,19.19291061338667,0.7273977355173511,0,,,,True
92,-0.9166042968750001,0,True,0.02176862075953867,0.02166862075953867,19.106153655327475,0.7331417787738717,0,,,,True
92,-0.9166042968750001,1,True,0.02045822990264723,0.02035822990264723,19.132756660728067,0.733266994077212,0,,,,True
92,-0.9166042968750001,2,True,0.01919942155083154,0.019099421550831542,19.1609925111353,0.7335694135008002,0,,,,True
92,-0.9166042968750001,3,True,0.018038248191382333,0.017938248191382334,19.190564863962823,0.7340144289485911,0,,,,True
92,-0.9166042968750001,4,True,0.016973766956811964,0.016873766956811965,19.19291061338667,0.7345740255401243,0,,,,True
92,-0.9166042968750001,5,True,0.015931030539082514,0.015831030539082514,19.19291061338667,0.7352241765669397,0,,,,True
92,-0.9166042968750001,6,True,0.014942594657639585,0.014842594657639586,19.19291061338667,0.7359474395195386,0,,,,True
